match_id,league,league_name,season,matchday,utc_date,status,stage,home_team,home_team_id,away_team,away_team_id,home_goals,away_goals,home_goals_ht,away_goals_ht,winner,venue,match_date,result,total_goals,goal_difference,ingested_at
502371,bl1,Bundesliga,2024,1,2024-08-23 18:30:00+00:00,FINISHED,REGULAR_SEASON,Borussia Mönchengladbach,18,Bayer 04 Leverkusen,3,2,3,0.0,2.0,AWAY_TEAM,,2024-08-23,A,5,-1,2026-08-31T22:30:21+00:00
502372,bl1,Bundesliga,2024,1,2024-08-24 13:30:00+00:00,FINISHED,REGULAR_SEASON,RB Leipzig,721,VfL Bochum 1848,36,1,0,0.0,0.0,HOME_TEAM,,2024-08-24,H,1,1,2026-08-31T22:30:21+00:00
502374,bl1,Bundesliga,2024,1,2024-08-24 13:30:00+00:00,FINISHED,REGULAR_SEASON,TSG 1899 Hoffenheim,2,Holstein Kiel,720,3,2,2.0,0.0,HOME_TEAM,,2024-08-24,H,5,1,2026-08-31T22:30:21+00:00
502375,bl1,Bundesliga,2024,1,2024-08-24 13:30:00+00:00,FINISHED,REGULAR_SEASON,SC Freiburg,17,VfB Stuttgart,10,3,1,1.0,1.0,HOME_TEAM,,2024-08-24,H,4,2,2026-08-31T22:30:21+00:00
502376,bl1,Bundesliga,2024,1,2024-08-24 13:30:00+00:00,FINISHED,REGULAR_SEASON,FC Augsburg,16,SV Werder Bremen,12,2,2,2.0,1.0,DRAW,,2024-08-24,D,4,0,2026-08-31T22:30:21+00:00
502378,bl1,Bundesliga,2024,1,2024-08-24 13:30:00+00:00,FINISHED,REGULAR_SEASON,1. FSV Mainz 05,15,1. FC Union Berlin,28,1,1,0.0,0.0,DRAW,,2024-08-24,D,2,0,2026-08-31T22:30:21+00:00
502373,bl1,Bundesliga,2024,1,2024-08-24 16:30:00+00:00,FINISHED,REGULAR_SEASON,Borussia Dortmund,4,Eintracht Frankfurt,19,2,0,0.0,0.0,HOME_TEAM,,2024-08-24,H,2,2,2026-08-31T22:30:21+00:00
502377,bl1,Bundesliga,2024,1,2024-08-25 13:30:00+00:00,FINISHED,REGULAR_SEASON,VfL Wolfsburg,11,FC Bayern München,5,2,3,0.0,1.0,AWAY_TEAM,,2024-08-25,A,5,-1,2026-08-31T22:30:21+00:00
502379,bl1,Bundesliga,2024,1,2024-08-25 15:30:00+00:00,FINISHED,REGULAR_SEASON,FC St. Pauli 1910,20,1. FC Heidenheim 1846,44,0,2,0.0,0.0,AWAY_TEAM,,2024-08-25,A,2,-2,2026-08-31T22:30:21+00:00
502386,bl1,Bundesliga,2024,2,2024-08-30 18:30:00+00:00,FINISHED,REGULAR_SEASON,1. FC Union Berlin,28,FC St. Pauli 1910,20,1,0,1.0,0.0,HOME_TEAM,,2024-08-30,H,1,1,2026-08-31T22:30:21+00:00
502388,bl1,Bundesliga,2024,2,2024-08-31 13:30:00+00:00,FINISHED,REGULAR_SEASON,Holstein Kiel,720,VfL Wolfsburg,11,0,2,0.0,2.0,AWAY_TEAM,,2024-08-31,A,2,-2,2026-08-31T22:30:21+00:00
502387,bl1,Bundesliga,2024,2,2024-08-31 13:30:00+00:00,FINISHED,REGULAR_SEASON,VfL Bochum 1848,36,Borussia Mönchengladbach,18,0,2,0.0,0.0,AWAY_TEAM,,2024-08-31,A,2,-2,2026-08-31T22:30:21+00:00
502381,bl1,Bundesliga,2024,2,2024-08-31 13:30:00+00:00,FINISHED,REGULAR_SEASON,VfB Stuttgart,10,1. FSV Mainz 05,15,3,3,2.0,1.0,DRAW,,2024-08-31,D,6,0,2026-08-31T22:30:21+00:00
502383,bl1,Bundesliga,2024,2,2024-08-31 13:30:00+00:00,FINISHED,REGULAR_SEASON,Eintracht Frankfurt,19,TSG 1899 Hoffenheim,2,3,1,2.0,0.0,HOME_TEAM,,2024-08-31,H,4,2,2026-08-31T22:30:21+00:00
502385,bl1,Bundesliga,2024,2,2024-08-31 13:30:00+00:00,FINISHED,REGULAR_SEASON,SV Werder Bremen,12,Borussia Dortmund,4,0,0,0.0,0.0,DRAW,,2024-08-31,D,0,0,2026-08-31T22:30:21+00:00
502380,bl1,Bundesliga,2024,2,2024-08-31 16:30:00+00:00,FINISHED,REGULAR_SEASON,Bayer 04 Leverkusen,3,RB Leipzig,721,2,3,2.0,1.0,AWAY_TEAM,,2024-08-31,A,5,-1,2026-08-31T22:30:21+00:00
502384,bl1,Bundesliga,2024,2,2024-09-01 13:30:00+00:00,FINISHED,REGULAR_SEASON,1. FC Heidenheim 1846,44,FC Augsburg,16,4,0,2.0,0.0,HOME_TEAM,,2024-09-01,H,4,4,2026-08-31T22:30:21+00:00
502382,bl1,Bundesliga,2024,2,2024-09-01 15:30:00+00:00,FINISHED,REGULAR_SEASON,FC Bayern München,5,SC Freiburg,17,2,0,1.0,0.0,HOME_TEAM,,2024-09-01,H,2,2,2026-08-31T22:30:21+00:00
502390,bl1,Bundesliga,2024,3,2024-09-13 18:30:00+00:00,FINISHED,REGULAR_SEASON,Borussia Dortmund,4,1. FC Heidenheim 1846,44,4,2,3.0,1.0,HOME_TEAM,,2024-09-13,H,6,2,2026-08-31T22:30:21+00:00
502396,bl1,Bundesliga,2024,3,2024-09-14 13:30:00+00:00,FINISHED,REGULAR_SEASON,Borussia Mönchengladbach,18,VfB Stuttgart,10,1,3,1.0,1.0,AWAY_TEAM,,2024-09-14,A,4,-2,2026-08-31T22:30:21+00:00
502394,bl1,Bundesliga,2024,3,2024-09-14 13:30:00+00:00,FINISHED,REGULAR_SEASON,VfL Wolfsburg,11,Eintracht Frankfurt,19,1,2,0.0,1.0,AWAY_TEAM,,2024-09-14,A,3,-1,2026-08-31T22:30:21+00:00
502389,bl1,Bundesliga,2024,3,2024-09-14 13:30:00+00:00,FINISHED,REGULAR_SEASON,RB Leipzig,721,1. FC Union Berlin,28,0,0,0.0,0.0,DRAW,,2024-09-14,D,0,0,2026-08-31T22:30:21+00:00
502391,bl1,Bundesliga,2024,3,2024-09-14 13:30:00+00:00,FINISHED,REGULAR_SEASON,TSG 1899 Hoffenheim,2,Bayer 04 Leverkusen,3,1,4,1.0,2.0,AWAY_TEAM,,2024-09-14,A,5,-3,2026-08-31T22:30:21+00:00
502392,bl1,Bundesliga,2024,3,2024-09-14 13:30:00+00:00,FINISHED,REGULAR_SEASON,SC Freiburg,17,VfL Bochum 1848,36,2,1,0.0,1.0,HOME_TEAM,,2024-09-14,H,3,1,2026-08-31T22:30:21+00:00
502397,bl1,Bundesliga,2024,3,2024-09-14 16:30:00+00:00,FINISHED,REGULAR_SEASON,Holstein Kiel,720,FC Bayern München,5,1,6,0.0,4.0,AWAY_TEAM,,2024-09-14,A,7,-5,2026-08-31T22:30:21+00:00
502393,bl1,Bundesliga,2024,3,2024-09-15 13:30:00+00:00,FINISHED,REGULAR_SEASON,FC Augsburg,16,FC St. Pauli 1910,20,3,1,0.0,0.0,HOME_TEAM,,2024-09-15,H,4,2,2026-08-31T22:30:21+00:00
502395,bl1,Bundesliga,2024,3,2024-09-15 15:30:00+00:00,FINISHED,REGULAR_SEASON,1. FSV Mainz 05,15,SV Werder Bremen,12,1,2,1.0,1.0,AWAY_TEAM,,2024-09-15,A,3,-1,2026-08-31T22:30:21+00:00
502403,bl1,Bundesliga,2024,4,2024-09-20 18:30:00+00:00,FINISHED,REGULAR_SEASON,FC Augsburg,16,1. FSV Mainz 05,15,2,3,1.0,2.0,AWAY_TEAM,,2024-09-20,A,5,-1,2026-08-31T22:30:21+00:00
502405,bl1,Bundesliga,2024,4,2024-09-21 13:30:00+00:00,FINISHED,REGULAR_SEASON,VfL Bochum 1848,36,Holstein Kiel,720,2,2,2.0,1.0,DRAW,,2024-09-21,D,4,0,2026-08-31T22:30:21+00:00
502404,bl1,Bundesliga,2024,4,2024-09-21 13:30:00+00:00,FINISHED,REGULAR_SEASON,1. FC Union Berlin,28,TSG 1899 Hoffenheim,2,2,1,2.0,0.0,HOME_TEAM,,2024-09-21,H,3,1,2026-08-31T22:30:21+00:00
502401,bl1,Bundesliga,2024,4,2024-09-21 13:30:00+00:00,FINISHED,REGULAR_SEASON,1. FC Heidenheim 1846,44,SC Freiburg,17,0,3,0.0,0.0,AWAY_TEAM,,2024-09-21,A,3,-3,2026-08-31T22:30:21+00:00
502402,bl1,Bundesliga,2024,4,2024-09-21 13:30:00+00:00,FINISHED,REGULAR_SEASON,SV Werder Bremen,12,FC Bayern München,5,0,5,0.0,2.0,AWAY_TEAM,,2024-09-21,A,5,-5,2026-08-31T22:30:21+00:00
502400,bl1,Bundesliga,2024,4,2024-09-21 16:30:00+00:00,FINISHED,REGULAR_SEASON,Eintracht Frankfurt,19,Borussia Mönchengladbach,18,2,0,1.0,0.0,HOME_TEAM,,2024-09-21,H,2,2,2026-08-31T22:30:21+00:00
502398,bl1,Bundesliga,2024,4,2024-09-22 13:30:00+00:00,FINISHED,REGULAR_SEASON,Bayer 04 Leverkusen,3,VfL Wolfsburg,11,4,3,2.0,3.0,HOME_TEAM,,2024-09-22,H,7,1,2026-08-31T22:30:21+00:00
502399,bl1,Bundesliga,2024,4,2024-09-22 15:30:00+00:00,FINISHED,REGULAR_SEASON,VfB Stuttgart,10,Borussia Dortmund,4,5,1,2.0,0.0,HOME_TEAM,,2024-09-22,H,6,4,2026-08-31T22:30:21+00:00
502406,bl1,Bundesliga,2024,4,2024-09-22 17:30:00+00:00,FINISHED,REGULAR_SEASON,FC St. Pauli 1910,20,RB Leipzig,721,0,0,0.0,0.0,DRAW,,2024-09-22,D,0,0,2026-08-31T22:30:21+00:00
502409,bl1,Bundesliga,2024,5,2024-09-27 18:30:00+00:00,FINISHED,REGULAR_SEASON,Borussia Dortmund,4,VfL Bochum 1848,36,4,2,1.0,2.0,HOME_TEAM,,2024-09-27,H,6,2,2026-08-31T22:30:21+00:00
502414,bl1,Bundesliga,2024,5,2024-09-28 13:30:00+00:00,FINISHED,REGULAR_SEASON,Borussia Mönchengladbach,18,1. FC Union Berlin,28,1,0,0.0,0.0,HOME_TEAM,,2024-09-28,H,1,1,2026-08-31T22:30:21+00:00
502413,bl1,Bundesliga,2024,5,2024-09-28 13:30:00+00:00,FINISHED,REGULAR_SEASON,1. FSV Mainz 05,15,1. FC Heidenheim 1846,44,0,2,0.0,1.0,AWAY_TEAM,,2024-09-28,A,2,-2,2026-08-31T22:30:21+00:00
502408,bl1,Bundesliga,2024,5,2024-09-28 13:30:00+00:00,FINISHED,REGULAR_SEASON,RB Leipzig,721,FC Augsburg,16,4,0,2.0,0.0,HOME_TEAM,,2024-09-28,H,4,4,2026-08-31T22:30:21+00:00
502411,bl1,Bundesliga,2024,5,2024-09-28 13:30:00+00:00,FINISHED,REGULAR_SEASON,SC Freiburg,17,FC St. Pauli 1910,20,0,3,0.0,2.0,AWAY_TEAM,,2024-09-28,A,3,-3,2026-08-31T22:30:21+00:00
502412,bl1,Bundesliga,2024,5,2024-09-28 13:30:00+00:00,FINISHED,REGULAR_SEASON,VfL Wolfsburg,11,VfB Stuttgart,10,2,2,1.0,1.0,DRAW,,2024-09-28,D,4,0,2026-08-31T22:30:21+00:00
502407,bl1,Bundesliga,2024,5,2024-09-28 16:30:00+00:00,FINISHED,REGULAR_SEASON,FC Bayern München,5,Bayer 04 Leverkusen,3,1,1,1.0,1.0,DRAW,,2024-09-28,D,2,0,2026-08-31T22:30:21+00:00
