match_id,league,league_name,season,matchday,utc_date,status,stage,home_team,home_team_id,away_team,away_team_id,home_goals,away_goals,home_goals_ht,away_goals_ht,winner,venue,match_date,result,total_goals,goal_difference,ingested_at
537441,ded,Eredivisie,2025,1,2025-08-08 18:00:00+00:00,FINISHED,REGULAR_SEASON,Fortuna Sittard,1920,Go Ahead Eagles,718,2,2,1,1,DRAW,,2025-08-08,D,4,0,2026-09-01T20:10:58+00:00
537442,ded,Eredivisie,2025,1,2025-08-09 14:30:00+00:00,FINISHED,REGULAR_SEASON,NEC,1915,SBV Excelsior,670,5,0,1,0,HOME_TEAM,,2025-08-09,H,5,5,2026-09-01T20:10:58+00:00
537443,ded,Eredivisie,2025,1,2025-08-09 16:45:00+00:00,FINISHED,REGULAR_SEASON,Feyenoord Rotterdam,675,NAC Breda,681,2,0,1,0,HOME_TEAM,,2025-08-09,H,2,2,2026-09-01T20:10:58+00:00
537444,ded,Eredivisie,2025,1,2025-08-09 18:00:00+00:00,FINISHED,REGULAR_SEASON,SC Heerenveen,673,FC Volendam,1919,1,1,1,0,DRAW,,2025-08-09,D,2,0,2026-09-01T20:10:58+00:00
537445,ded,Eredivisie,2025,1,2025-08-09 19:00:00+00:00,FINISHED,REGULAR_SEASON,PSV,674,Sparta Rotterdam,6806,6,1,3,0,HOME_TEAM,,2025-08-09,H,7,5,2026-09-01T20:10:58+00:00
537446,ded,Eredivisie,2025,1,2025-08-10 10:15:00+00:00,FINISHED,REGULAR_SEASON,PEC Zwolle,684,FC Twente '65,666,1,0,1,0,HOME_TEAM,,2025-08-10,H,1,1,2026-09-01T20:10:58+00:00
537447,ded,Eredivisie,2025,1,2025-08-10 12:30:00+00:00,FINISHED,REGULAR_SEASON,AFC Ajax,678,Telstar 1963,1912,2,0,1,0,HOME_TEAM,,2025-08-10,H,2,2,2026-09-01T20:10:58+00:00
537448,ded,Eredivisie,2025,1,2025-08-10 12:30:00+00:00,FINISHED,REGULAR_SEASON,AZ,682,FC Groningen,677,4,1,3,1,HOME_TEAM,,2025-08-10,H,5,3,2026-09-01T20:10:58+00:00
537449,ded,Eredivisie,2025,1,2025-08-10 14:45:00+00:00,FINISHED,REGULAR_SEASON,FC Utrecht,676,Heracles Almelo,671,4,0,1,0,HOME_TEAM,,2025-08-10,H,4,4,2026-09-01T20:10:58+00:00
537450,ded,Eredivisie,2025,2,2025-08-15 18:00:00+00:00,FINISHED,REGULAR_SEASON,Telstar 1963,1912,PEC Zwolle,684,0,2,0,1,AWAY_TEAM,,2025-08-15,A,2,-2,2026-09-01T20:10:58+00:00
537452,ded,Eredivisie,2025,2,2025-08-16 16:45:00+00:00,FINISHED,REGULAR_SEASON,SBV Excelsior,670,Feyenoord Rotterdam,675,1,2,1,2,AWAY_TEAM,,2025-08-16,A,3,-1,2026-09-01T20:10:58+00:00
537453,ded,Eredivisie,2025,2,2025-08-16 18:00:00+00:00,FINISHED,REGULAR_SEASON,Heracles Almelo,671,NEC,1915,1,4,1,1,AWAY_TEAM,,2025-08-16,A,5,-3,2026-09-01T20:10:58+00:00
537451,ded,Eredivisie,2025,2,2025-08-16 19:00:00+00:00,FINISHED,REGULAR_SEASON,FC Groningen,677,SC Heerenveen,673,2,1,1,1,HOME_TEAM,,2025-08-16,H,3,1,2026-09-01T20:10:58+00:00
537454,ded,Eredivisie,2025,2,2025-08-17 10:15:00+00:00,FINISHED,REGULAR_SEASON,Go Ahead Eagles,718,AFC Ajax,678,2,2,2,2,DRAW,,2025-08-17,D,4,0,2026-09-01T20:10:58+00:00
537455,ded,Eredivisie,2025,2,2025-08-17 12:30:00+00:00,FINISHED,REGULAR_SEASON,Sparta Rotterdam,6806,FC Utrecht,676,2,1,1,0,HOME_TEAM,,2025-08-17,H,3,1,2026-09-01T20:10:58+00:00
537456,ded,Eredivisie,2025,2,2025-08-17 12:30:00+00:00,FINISHED,REGULAR_SEASON,FC Twente '65,666,PSV,674,0,2,0,1,AWAY_TEAM,,2025-08-17,A,2,-2,2026-09-01T20:10:58+00:00
537457,ded,Eredivisie,2025,2,2025-08-17 14:45:00+00:00,FINISHED,REGULAR_SEASON,FC Volendam,1919,AZ,682,2,2,1,1,DRAW,,2025-08-17,D,4,0,2026-09-01T20:10:58+00:00
537458,ded,Eredivisie,2025,2,2025-08-17 18:00:00+00:00,FINISHED,REGULAR_SEASON,NAC Breda,681,Fortuna Sittard,1920,2,1,1,0,HOME_TEAM,,2025-08-17,H,3,1,2026-09-01T20:10:58+00:00
537459,ded,Eredivisie,2025,3,2025-08-23 14:30:00+00:00,FINISHED,REGULAR_SEASON,Go Ahead Eagles,718,Sparta Rotterdam,6806,0,3,0,1,AWAY_TEAM,,2025-08-23,A,3,-3,2026-09-01T20:10:58+00:00
537460,ded,Eredivisie,2025,3,2025-08-23 16:45:00+00:00,FINISHED,REGULAR_SEASON,PSV,674,FC Groningen,677,4,2,1,1,HOME_TEAM,,2025-08-23,H,6,2,2026-09-01T20:10:58+00:00
537461,ded,Eredivisie,2025,3,2025-08-23 19:00:00+00:00,FINISHED,REGULAR_SEASON,Telstar 1963,1912,FC Volendam,1919,2,2,2,0,DRAW,,2025-08-23,D,4,0,2026-09-01T20:10:58+00:00
537463,ded,Eredivisie,2025,3,2025-08-24 10:15:00+00:00,FINISHED,REGULAR_SEASON,SC Heerenveen,673,FC Twente '65,666,1,2,0,1,AWAY_TEAM,,2025-08-24,A,3,-1,2026-09-01T20:10:58+00:00
537464,ded,Eredivisie,2025,3,2025-08-24 12:30:00+00:00,FINISHED,REGULAR_SEASON,FC Utrecht,676,SBV Excelsior,670,4,1,2,0,HOME_TEAM,,2025-08-24,H,5,3,2026-09-01T20:10:58+00:00
537465,ded,Eredivisie,2025,3,2025-08-24 12:30:00+00:00,FINISHED,REGULAR_SEASON,NEC,1915,NAC Breda,681,3,0,1,0,HOME_TEAM,,2025-08-24,H,3,3,2026-09-01T20:10:58+00:00
537466,ded,Eredivisie,2025,3,2025-08-24 14:45:00+00:00,FINISHED,REGULAR_SEASON,AFC Ajax,678,Heracles Almelo,671,2,0,1,0,HOME_TEAM,,2025-08-24,H,2,2,2026-09-01T20:10:58+00:00
537468,ded,Eredivisie,2025,4,2025-08-29 18:00:00+00:00,FINISHED,REGULAR_SEASON,FC Groningen,677,Heracles Almelo,671,4,0,3,0,HOME_TEAM,,2025-08-29,H,4,4,2026-09-01T20:10:58+00:00
537469,ded,Eredivisie,2025,4,2025-08-30 14:30:00+00:00,FINISHED,REGULAR_SEASON,FC Volendam,1919,AFC Ajax,678,1,1,1,0,DRAW,,2025-08-30,D,2,0,2026-09-01T20:10:58+00:00
